External_Id__c,Errors,Id
1004,,a001100000GUD2aAAH
1010,,a001100000GUD2bAAH
1014,,a001100000GUD2cAAH
1015,,a001100000GUD2dAAH
1016,,a001100000GUD2eAAH
1032,,a001100000GUD2fAAH
1036,,a001100000GUD2gAAH
1047,,a001100000GUD2hAAH
1060,,a001100000GUD2iAAH
1063,,a001100000GUD2jAAH
1065,,a001100000GUD2kAAH
1066,,a001100000GUD2lAAH
1069,,a001100000GUD2mAAH
1077,,a001100000GUD2nAAH
1078,,a001100000GUD2oAAH
1089,,a001100000GUD2pAAH
1090,,a001100000GUD2qAAH
1093,,a001100000GUD2rAAH
1100,,a001100000GUD2sAAH
1103,,a001100000GUD2tAAH
1105,,a001100000GUD2uAAH
1108,,a001100000GUD2vAAH
1121,,a001100000GUD2wAAH
1123,,a001100000GUD2xAAH
1126,,a001100000GUD2yAAH
1134,,a001100000GUD2zAAH
1136,,a001100000GUD30AAH
1137,,a001100000GUD31AAH
1138,,a001100000GUD32AAH
1140,,a001100000GUD33AAH
1141,,a001100000GUD34AAH
1151,,a001100000GUD35AAH
1152,,a001100000GUD36AAH
1158,,a001100000GUD37AAH
1161,,a001100000GUD38AAH
1168,,a001100000GUD39AAH
1170,,a001100000GUD3AAAX
1174,,a001100000GUD3BAAX
1192,,a001100000GUD3CAAX
1193,,a001100000GUD3DAAX
1196,,a001100000GUD3EAAX
1199,,a001100000GUD3FAAX
1200,,a001100000GUD3GAAX
1201,,a001100000GUD3HAAX
1203,,a001100000GUD3IAAX
1205,,a001100000GUD3JAAX
1211,,a001100000GUD3KAAX
1220,,a001100000GUD3LAAX
1221,,a001100000GUD3MAAX
1231,,a001100000GUD3NAAX
1236,,a001100000GUD3OAAX
1239,,a001100000GUD3PAAX
1243,,a001100000GUD3QAAX
1255,,a001100000GUD3RAAX
1260,,a001100000GUD3SAAX
1262,,a001100000GUD3TAAX
1264,,a001100000GUD3UAAX
1268,,a001100000GUD3VAAX
1270,,a001100000GUD3WAAX
1287,,a001100000GUD3XAAX
1289,,a001100000GUD3YAAX
1290,,a001100000GUD3ZAAX
1294,,a001100000GUD3aAAH
1300,,a001100000GUD3bAAH
1303,,a001100000GUD3cAAH
1306,,a001100000GUD3dAAH
1307,,a001100000GUD3eAAH
1311,,a001100000GUD3fAAH
1316,,a001100000GUD3gAAH
1317,,a001100000GUD3hAAH
1328,,a001100000GUD3iAAH
1329,,a001100000GUD3jAAH
1333,,a001100000GUD3kAAH
1336,,a001100000GUD3lAAH
1339,,a001100000GUD3mAAH
1342,,a001100000GUD3nAAH
1344,,a001100000GUD3oAAH
1350,,a001100000GUD3pAAH
1360,,a001100000GUD3qAAH
1362,,a001100000GUD3rAAH
1365,,a001100000GUD3sAAH
1375,,a001100000GUD3tAAH
1376,,a001100000GUD3uAAH
1388,,a001100000GUD3vAAH
1390,,a001100000GUD3wAAH
1391,,a001100000GUD3xAAH
1393,,a001100000GUD3yAAH
1402,,a001100000GUD3zAAH
1406,,a001100000GUD40AAH
1410,,a001100000GUD41AAH
1413,,a001100000GUD42AAH
1415,,a001100000GUD43AAH
1416,,a001100000GUD44AAH
1428,,a001100000GUD45AAH
1432,,a001100000GUD46AAH
1436,,a001100000GUD47AAH
1439,,a001100000GUD48AAH
1440,,a001100000GUD49AAH
1444,,a001100000GUD4AAAX
1447,,a001100000GUD4BAAX
1453,,a001100000GUD4CAAX
1460,,a001100000GUD4DAAX
1461,,a001100000GUD4EAAX
1462,,a001100000GUD4FAAX
1463,,a001100000GUD4GAAX
1465,,a001100000GUD4HAAX
1470,,a001100000GUD4IAAX
1484,,a001100000GUD4JAAX
1489,,a001100000GUD4KAAX
1493,,a001100000GUD4LAAX
1499,,a001100000GUD4MAAX
1500,,a001100000GUD4NAAX
1501,,a001100000GUD4OAAX
1510,,a001100000GUD4PAAX
1515,,a001100000GUD4QAAX
1521,,a001100000GUD4RAAX
1533,,a001100000GUD4SAAX
1534,,a001100000GUD4TAAX
1537,,a001100000GUD4UAAX
1539,,a001100000GUD4VAAX
1542,,a001100000GUD4WAAX
1543,,a001100000GUD4XAAX
1546,,a001100000GUD4YAAX
1547,,a001100000GUD4ZAAX
1556,,a001100000GUD4aAAH
1561,,a001100000GUD4bAAH
1569,,a001100000GUD4cAAH
1579,,a001100000GUD4dAAH
1587,,a001100000GUD4eAAH
1590,,a001100000GUD4fAAH
1592,,a001100000GUD4gAAH
1594,,a001100000GUD4hAAH
1599,,a001100000GUD4iAAH
1600,,a001100000GUD4jAAH
1602,,a001100000GUD4kAAH
1606,,a001100000GUD4lAAH
1610,,a001100000GUD4mAAH
1614,,a001100000GUD4nAAH
1615,,a001100000GUD4oAAH
1621,,a001100000GUD4pAAH
1624,,a001100000GUD4qAAH
1627,,a001100000GUD4rAAH
1635,,a001100000GUD4sAAH
1646,,a001100000GUD4tAAH
1651,,a001100000GUD4uAAH
1654,,a001100000GUD4vAAH
1656,,a001100000GUD4wAAH
1660,,a001100000GUD4xAAH
1662,,a001100000GUD4yAAH
1672,,a001100000GUD4zAAH
1674,,a001100000GUD50AAH
1678,,a001100000GUD51AAH
1679,,a001100000GUD52AAH
1690,,a001100000GUD53AAH
1693,,a001100000GUD54AAH
1694,,a001100000GUD55AAH
1700,,a001100000GUD56AAH
1704,,a001100000GUD57AAH
1712,,a001100000GUD58AAH
1713,,a001100000GUD59AAH
1723,,a001100000GUD5AAAX
1724,,a001100000GUD5BAAX
1725,,a001100000GUD5CAAX
1737,,a001100000GUD5DAAX
1742,,a001100000GUD5EAAX
1754,,a001100000GUD5FAAX
1755,,a001100000GUD5GAAX
1759,,a001100000GUD5HAAX
1760,,a001100000GUD5IAAX
1761,,a001100000GUD5JAAX
1762,,a001100000GUD5KAAX
1764,,a001100000GUD5LAAX
1765,,a001100000GUD5MAAX
1766,,a001100000GUD5NAAX
44344,,a001100000GUD6UAAX
44349,,a001100000GUD6VAAX
44355,,a001100000GUD6WAAX
44357,,a001100000GUD6XAAX
44377,,a001100000GUD6YAAX
44379,,a001100000GUD6ZAAX
44389,,a001100000GUD6aAAH
44391,,a001100000GUD6bAAH
44399,,a001100000GUD6cAAH
44401,,a001100000GUD6dAAH
44411,,a001100000GUD6eAAH
44413,,a001100000GUD6fAAH
44415,,a001100000GUD6gAAH
44416,,a001100000GUD6hAAH
44418,,a001100000GUD6iAAH
44424,,a001100000GUD6jAAH
44425,,a001100000GUD6kAAH
44429,,a001100000GUD6lAAH
44436,,a001100000GUD6mAAH
44438,,a001100000GUD6nAAH
44442,,a001100000GUD6oAAH
44445,,a001100000GUD6pAAH
44452,,a001100000GUD6qAAH
44454,,a001100000GUD6rAAH
44459,,a001100000GUD6sAAH
44464,,a001100000GUD6tAAH
44466,,a001100000GUD6uAAH
44479,,a001100000GUD6vAAH
44482,,a001100000GUD6wAAH
44485,,a001100000GUD6xAAH
44491,,a001100000GUD6yAAH
44494,,a001100000GUD6zAAH
44495,,a001100000GUD70AAH
44497,,a001100000GUD71AAH
44501,,a001100000GUD72AAH
44503,,a001100000GUD73AAH
44515,,a001100000GUD74AAH
44516,,a001100000GUD75AAH
44530,,a001100000GUD76AAH
44531,,a001100000GUD77AAH
44533,,a001100000GUD78AAH
44539,,a001100000GUD79AAH
44544,,a001100000GUD7AAAX
44545,,a001100000GUD7BAAX
44548,,a001100000GUD7CAAX
44553,,a001100000GUD7DAAX
44557,,a001100000GUD7EAAX
44560,,a001100000GUD7FAAX
44567,,a001100000GUD7GAAX
44570,,a001100000GUD7HAAX
44571,,a001100000GUD7IAAX
44572,,a001100000GUD7JAAX
44574,,a001100000GUD7KAAX
44576,,a001100000GUD7LAAX
44579,,a001100000GUD7MAAX
44587,,a001100000GUD7NAAX
44590,,a001100000GUD7OAAX
44592,,a001100000GUD7PAAX
44614,,a001100000GUD7QAAX
44616,,a001100000GUD7RAAX
44622,,a001100000GUD7SAAX
44626,,a001100000GUD7TAAX
44631,,a001100000GUD7UAAX
44643,,a001100000GUD7VAAX
44645,,a001100000GUD7WAAX
44654,,a001100000GUD7XAAX
44656,,a001100000GUD7YAAX
44658,,a001100000GUD7ZAAX
44667,,a001100000GUD7aAAH
44668,,a001100000GUD7bAAH
44675,,a001100000GUD7cAAH
44679,,a001100000GUD7dAAH
44685,,a001100000GUD7eAAH
44693,,a001100000GUD7fAAH
44698,,a001100000GUD7gAAH
44704,,a001100000GUD7hAAH
44709,,a001100000GUD7iAAH
44710,,a001100000GUD7jAAH
44714,,a001100000GUD7kAAH
44715,,a001100000GUD7lAAH
44716,,a001100000GUD7mAAH
44719,,a001100000GUD7nAAH
44730,,a001100000GUD7oAAH
44731,,a001100000GUD7pAAH
44733,,a001100000GUD7qAAH
44738,,a001100000GUD7rAAH
44740,,a001100000GUD7sAAH
44744,,a001100000GUD7tAAH
44747,,a001100000GUD7uAAH
44748,,a001100000GUD7vAAH
44755,,a001100000GUD7wAAH
44761,,a001100000GUD7xAAH
44768,,a001100000GUD7yAAH
44779,,a001100000GUD7zAAH
44780,,a001100000GUD80AAH
44783,,a001100000GUD81AAH
44788,,a001100000GUD82AAH
44792,,a001100000GUD83AAH
44806,,a001100000GUD84AAH
44807,,a001100000GUD85AAH
44808,,a001100000GUD86AAH
44810,,a001100000GUD87AAH
44815,,a001100000GUD88AAH
44820,,a001100000GUD89AAH
44821,,a001100000GUD8AAAX
44825,,a001100000GUD8BAAX
44830,,a001100000GUD8CAAX
44833,,a001100000GUD8DAAX
44842,,a001100000GUD8EAAX
44845,,a001100000GUD8FAAX
44853,,a001100000GUD8GAAX
44858,,a001100000GUD8HAAX
44860,,a001100000GUD8IAAX
44864,,a001100000GUD8JAAX
44871,,a001100000GUD8KAAX
44884,,a001100000GUD8LAAX
44888,,a001100000GUD8MAAX
44891,,a001100000GUD8NAAX
44898,,a001100000GUD8OAAX
44905,,a001100000GUD8PAAX
44908,,a001100000GUD8QAAX
44914,,a001100000GUD8RAAX
44917,,a001100000GUD8SAAX
44919,,a001100000GUD8TAAX
44921,,a001100000GUD8UAAX
44922,,a001100000GUD8VAAX
44927,,a001100000GUD8WAAX
44928,,a001100000GUD8XAAX
44929,,a001100000GUD8YAAX
44940,,a001100000GUD8ZAAX
44941,,a001100000GUD8aAAH
44942,,a001100000GUD8bAAH
44945,,a001100000GUD8cAAH
44947,,a001100000GUD8dAAH
44952,,a001100000GUD8eAAH
44954,,a001100000GUD8fAAH
44962,,a001100000GUD8gAAH
44965,,a001100000GUD8hAAH
44971,,a001100000GUD8iAAH
44973,,a001100000GUD8jAAH
44975,,a001100000GUD8kAAH
44981,,a001100000GUD8lAAH
44983,,a001100000GUD8mAAH
44984,,a001100000GUD8nAAH
44985,,a001100000GUD8oAAH
44986,,a001100000GUD8pAAH
44993,,a001100000GUD8qAAH
44998,,a001100000GUD8rAAH
45004,,a001100000GUD8sAAH
45020,,a001100000GUD8tAAH
45029,,a001100000GUD8uAAH
45030,,a001100000GUD8vAAH
45034,,a001100000GUD8wAAH
45036,,a001100000GUD8xAAH
45044,,a001100000GUD8yAAH
45047,,a001100000GUD8zAAH
45048,,a001100000GUD90AAH
45057,,a001100000GUD91AAH
45065,,a001100000GUD92AAH
45070,,a001100000GUD93AAH
45076,,a001100000GUD94AAH
45081,,a001100000GUD95AAH
45083,,a001100000GUD96AAH
45092,,a001100000GUD97AAH
45094,,a001100000GUD98AAH
45095,,a001100000GUD99AAH
45099,,a001100000GUD9AAAX
45100,,a001100000GUD9BAAX
45104,,a001100000GUD9CAAX
45109,,a001100000GUD9DAAX
45120,,a001100000GUD9EAAX
45121,,a001100000GUD9FAAX
45129,,a001100000GUD9GAAX
45130,,a001100000GUD9HAAX
45132,,a001100000GUD9IAAX
45134,,a001100000GUD9JAAX
45138,,a001100000GUD9KAAX
45141,,a001100000GUD9LAAX
45143,,a001100000GUD9MAAX
45156,,a001100000GUD9NAAX
45157,,a001100000GUD9OAAX
45163,,a001100000GUD9PAAX
45167,,a001100000GUD9QAAX
45171,,a001100000GUD9RAAX
45175,,a001100000GUD9SAAX
45185,,a001100000GUD9TAAX
45191,,a001100000GUD9UAAX
45195,,a001100000GUD9VAAX
45197,,a001100000GUD9WAAX
45203,,a001100000GUD9XAAX
45204,,a001100000GUD9YAAX
45211,,a001100000GUD9ZAAX
45220,,a001100000GUD9aAAH
45222,,a001100000GUD9bAAH
45225,,a001100000GUD9cAAH
45228,,a001100000GUD9dAAH
45238,,a001100000GUD9eAAH
45244,,a001100000GUD9fAAH
45247,,a001100000GUD9gAAH
45253,,a001100000GUD9hAAH
45255,,a001100000GUD9iAAH
45256,,a001100000GUD9jAAH
45264,,a001100000GUD9kAAH
45265,,a001100000GUD9lAAH
45269,,a001100000GUD9mAAH
45270,,a001100000GUD9nAAH
45272,,a001100000GUD9oAAH
45273,,a001100000GUD9pAAH
45293,,a001100000GUD9qAAH
45295,,a001100000GUD9rAAH
45299,,a001100000GUD9sAAH
45306,,a001100000GUD9tAAH
45307,,a001100000GUD9uAAH
45310,,a001100000GUD9vAAH
45312,,a001100000GUD9wAAH
45318,,a001100000GUD9xAAH
45320,,a001100000GUD9yAAH
45324,,a001100000GUD9zAAH
45325,,a001100000GUDA0AAP
45331,,a001100000GUDA1AAP
45333,,a001100000GUDA2AAP
45351,,a001100000GUDA3AAP
45352,,a001100000GUDA4AAP
45353,,a001100000GUDA5AAP
45354,,a001100000GUDA6AAP
45364,,a001100000GUDA7AAP
45366,,a001100000GUDA8AAP
45370,,a001100000GUDA9AAP
45378,,a001100000GUDAAAA5
45382,,a001100000GUDABAA5
45384,,a001100000GUDACAA5
45386,,a001100000GUDADAA5
45387,,a001100000GUDAEAA5
45396,,a001100000GUDAFAA5
45398,,a001100000GUDAGAA5
45404,,a001100000GUDAHAA5
45407,,a001100000GUDAIAA5
45415,,a001100000GUDAJAA5
45418,,a001100000GUDAKAA5
45419,,a001100000GUDALAA5
45421,,a001100000GUDAMAA5
45422,,a001100000GUDANAA5
45431,,a001100000GUDAOAA5
45432,,a001100000GUDAPAA5
45434,,a001100000GUDAQAA5
45438,,a001100000GUDARAA5
45448,,a001100000GUDASAA5
45449,,a001100000GUDATAA5
45456,,a001100000GUDAUAA5
45457,,a001100000GUDAVAA5
45458,,a001100000GUDAWAA5
45473,,a001100000GUDAXAA5
45475,,a001100000GUDAYAA5
45480,,a001100000GUDAZAA5
45484,,a001100000GUDAaAAP
45493,,a001100000GUDAbAAP
45495,,a001100000GUDAcAAP
45499,,a001100000GUDAdAAP
45501,,a001100000GUDAeAAP
45505,,a001100000GUDAfAAP
45509,,a001100000GUDAgAAP
45514,,a001100000GUDAhAAP
45515,,a001100000GUDAiAAP
45524,,a001100000GUDAjAAP
45526,,a001100000GUDAkAAP
45532,,a001100000GUDAlAAP
45545,,a001100000GUDAmAAP
45554,,a001100000GUDAnAAP
45556,,a001100000GUDAoAAP
45564,,a001100000GUDApAAP
45565,,a001100000GUDAqAAP
45566,,a001100000GUDArAAP
45568,,a001100000GUDAsAAP
45573,,a001100000GUDAtAAP
45574,,a001100000GUDAuAAP
45576,,a001100000GUDAvAAP
45579,,a001100000GUDAwAAP
45590,,a001100000GUDAxAAP
45593,,a001100000GUDAyAAP
45598,,a001100000GUDAzAAP
45600,,a001100000GUDB0AAP
45603,,a001100000GUDB1AAP
45608,,a001100000GUDB2AAP
45612,,a001100000GUDB3AAP
45613,,a001100000GUDB4AAP
45630,,a001100000GUDB5AAP
45634,,a001100000GUDB6AAP
45643,,a001100000GUDB7AAP
45646,,a001100000GUDB8AAP
45649,,a001100000GUDB9AAP
45653,,a001100000GUDBAAA5
45654,,a001100000GUDBBAA5
45656,,a001100000GUDBCAA5
45658,,a001100000GUDBDAA5
45662,,a001100000GUDBEAA5
45663,,a001100000GUDBFAA5
45664,,a001100000GUDBGAA5
45685,,a001100000GUDBHAA5
45688,,a001100000GUDBIAA5
45689,,a001100000GUDBJAA5
45692,,a001100000GUDBKAA5
45704,,a001100000GUDBLAA5
45705,,a001100000GUDBMAA5
45706,,a001100000GUDBNAA5
45710,,a001100000GUDBOAA5
45717,,a001100000GUDBPAA5
45723,,a001100000GUDBQAA5
45726,,a001100000GUDBRAA5
45730,,a001100000GUDBSAA5
45736,,a001100000GUDBTAA5
45737,,a001100000GUDBUAA5
45739,,a001100000GUDBVAA5
45742,,a001100000GUDBWAA5
45746,,a001100000GUDBXAA5
45748,,a001100000GUDBYAA5
45749,,a001100000GUDBZAA5
45757,,a001100000GUDBaAAP
45769,,a001100000GUDBbAAP
45771,,a001100000GUDBcAAP
45778,,a001100000GUDBdAAP
45780,,a001100000GUDBeAAP
45787,,a001100000GUDBfAAP
45792,,a001100000GUDBgAAP
45794,,a001100000GUDBhAAP
45801,,a001100000GUDBiAAP
45802,,a001100000GUDBjAAP
45804,,a001100000GUDBkAAP
45806,,a001100000GUDBlAAP
45810,,a001100000GUDBmAAP
45812,,a001100000GUDBnAAP
45816,,a001100000GUDBoAAP
45818,,a001100000GUDBpAAP
45823,,a001100000GUDBqAAP
45835,,a001100000GUDBrAAP
45841,,a001100000GUDBsAAP
45843,,a001100000GUDBtAAP
45848,,a001100000GUDBuAAP
45855,,a001100000GUDBvAAP
45862,,a001100000GUDBwAAP
45864,,a001100000GUDBxAAP
45868,,a001100000GUDByAAP
45874,,a001100000GUDBzAAP
45877,,a001100000GUDC0AAP
45879,,a001100000GUDC1AAP
45880,,a001100000GUDC2AAP
45888,,a001100000GUDC3AAP
45889,,a001100000GUDC4AAP
45898,,a001100000GUDC5AAP
45899,,a001100000GUDC6AAP
45902,,a001100000GUDC7AAP
45906,,a001100000GUDC8AAP
45909,,a001100000GUDC9AAP
45912,,a001100000GUDCAAA5
45914,,a001100000GUDCBAA5
45916,,a001100000GUDCCAA5
45918,,a001100000GUDCDAA5
45919,,a001100000GUDCEAA5
45934,,a001100000GUDCFAA5
45950,,a001100000GUDCGAA5
45952,,a001100000GUDCHAA5
45954,,a001100000GUDCIAA5
45955,,a001100000GUDCJAA5
45956,,a001100000GUDCKAA5
45963,,a001100000GUDCLAA5
45964,,a001100000GUDCMAA5
45969,,a001100000GUDCNAA5
45981,,a001100000GUDCOAA5
45983,,a001100000GUDCPAA5
45987,,a001100000GUDCQAA5
45994,,a001100000GUDCRAA5
45996,,a001100000GUDCSAA5
46000,,a001100000GUDCTAA5
46001,,a001100000GUDCUAA5
46003,,a001100000GUDCVAA5
46020,,a001100000GUDCWAA5
46022,,a001100000GUDCXAA5
46032,,a001100000GUDCYAA5
46034,,a001100000GUDCZAA5
46038,,a001100000GUDCaAAP
46044,,a001100000GUDCbAAP
46045,,a001100000GUDCcAAP
46047,,a001100000GUDCdAAP
46054,,a001100000GUDCeAAP
46056,,a001100000GUDCfAAP
46059,,a001100000GUDCgAAP
46069,,a001100000GUDChAAP
46072,,a001100000GUDCiAAP
46076,,a001100000GUDCjAAP
46084,,a001100000GUDCkAAP
46087,,a001100000GUDClAAP
46092,,a001100000GUDCmAAP
46093,,a001100000GUDCnAAP
46096,,a001100000GUDCoAAP
46098,,a001100000GUDCpAAP
46100,,a001100000GUDCqAAP
46102,,a001100000GUDCrAAP
46103,,a001100000GUDCsAAP
46129,,a001100000GUDCtAAP
46135,,a001100000GUDCuAAP
46137,,a001100000GUDCvAAP
1770,,a001100000GUDCwAAP
1773,,a001100000GUDCxAAP
1775,,a001100000GUDCyAAP
1782,,a001100000GUDCzAAP
1794,,a001100000GUDD0AAP
1795,,a001100000GUDD1AAP
1801,,a001100000GUDD2AAP
1809,,a001100000GUDD3AAP
1814,,a001100000GUDD4AAP
1815,,a001100000GUDD5AAP
1816,,a001100000GUDD6AAP
1818,,a001100000GUDD7AAP
1823,,a001100000GUDD8AAP
1832,,a001100000GUDD9AAP
1836,,a001100000GUDDAAA5
1845,,a001100000GUDDBAA5
1846,,a001100000GUDDCAA5
1848,,a001100000GUDDDAA5
1854,,a001100000GUDDEAA5
1863,,a001100000GUDDFAA5
1867,,a001100000GUDDGAA5
1868,,a001100000GUDDHAA5
1871,,a001100000GUDDIAA5
1875,,a001100000GUDDJAA5
1879,,a001100000GUDDKAA5
1886,,a001100000GUDDLAA5
1889,,a001100000GUDDMAA5
1892,,a001100000GUDDNAA5
1894,,a001100000GUDDOAA5
1911,,a001100000GUDDPAA5
1917,,a001100000GUDDQAA5
1921,,a001100000GUDDRAA5
1923,,a001100000GUDDSAA5
1932,,a001100000GUDDTAA5
1943,,a001100000GUDDUAA5
1945,,a001100000GUDDVAA5
1947,,a001100000GUDDWAA5
1959,,a001100000GUDDXAA5
1962,,a001100000GUDDYAA5
