Id,External_Id__c
a0063000008tRlZAAU,541
a0063000008tRlaAAE,544
a0063000008tRlbAAE,548
a0063000008tRlcAAE,549
a0063000008tRldAAE,561
a0063000008tRleAAE,563
a0063000008tRlfAAE,566
a0063000008tRlgAAE,570
a0063000008tRlhAAE,576
a0063000008tRliAAE,577
a0063000008tRljAAE,580
a0063000008tRlkAAE,581
a0063000008tRllAAE,589
a0063000008tRlmAAE,606
a0063000008tRlnAAE,609
a0063000008tRloAAE,614
a0063000008tRlpAAE,618
a0063000008tRlqAAE,624
a0063000008tRlrAAE,626
a0063000008tRlsAAE,628
a0063000008tRltAAE,645
a0063000008tRluAAE,647
a0063000008tRlvAAE,649
a0063000008tRlwAAE,652
a0063000008tRlxAAE,654
a0063000008tRlyAAE,663
a0063000008tRlzAAE,664
a0063000008tRm0AAE,668
a0063000008tRm1AAE,670
a0063000008tRm2AAE,673
a0063000008tRm3AAE,675
a0063000008tRm4AAE,679
a0063000008tRm5AAE,683
a0063000008tRm6AAE,689
a0063000008tRm7AAE,690
a0063000008tRm8AAE,702
a0063000008tRm9AAE,703
a0063000008tRmAAAU,705
a0063000008tRmBAAU,706
a0063000008tRmCAAU,713
a0063000008tRmDAAU,717
a0063000008tRmEAAU,722
a0063000008tRmFAAU,727
a0063000008tRmGAAU,728
a0063000008tRmHAAU,737
a0063000008tRmIAAU,745
a0063000008tRmJAAU,747
a0063000008tRmKAAU,751
a0063000008tRmLAAU,755
a0063000008tRmMAAU,759
a0063000008tRmNAAU,764
a0063000008tRmOAAU,765
a0063000008tRmPAAU,768
a0063000008tRmQAAU,771
a0063000008tRmRAAU,774
a0063000008tRmSAAU,776
a0063000008tRmTAAU,780
a0063000008tRmUAAU,783
a0063000008tRmVAAU,785
a0063000008tRmWAAU,788
a0063000008tRmXAAU,789
a0063000008tRmYAAU,792
a0063000008tRmZAAU,799
a0063000008tRmaAAE,804
a0063000008tRmbAAE,808
a0063000008tRmcAAE,812
a0063000008tRmdAAE,815
a0063000008tRmeAAE,828
a0063000008tRmfAAE,829
a0063000008tRmgAAE,844
a0063000008tRmhAAE,856
a0063000008tRmiAAE,865
a0063000008tRmjAAE,870
a0063000008tRmkAAE,871
a0063000008tRmlAAE,875
a0063000008tRmmAAE,886
a0063000008tRmnAAE,894
a0063000008tRmoAAE,895
a0063000008tRmpAAE,897
a0063000008tRmqAAE,898
a0063000008tRmrAAE,899
a0063000008tRmsAAE,903
a0063000008tRmtAAE,904
a0063000008tRmuAAE,910
a0063000008tRmvAAE,911
a0063000008tRmwAAE,917
a0063000008tRmxAAE,921
a0063000008tRmyAAE,925
a0063000008tRmzAAE,929
a0063000008tRn0AAE,930
a0063000008tRn1AAE,934
a0063000008tRn2AAE,940
a0063000008tRn3AAE,948
a0063000008tRn4AAE,950
a0063000008tRn5AAE,961
a0063000008tRn6AAE,965
a0063000008tRn7AAE,968
a0063000008tRn8AAE,969
a0063000008tRn9AAE,978
a0063000008tRnAAAU,984
a0063000008tRnBAAU,985
a0063000008tRnCAAU,993
a0063000008tRnDAAU,994
a0063000008tRnEAAU,995
a0063000008tRnFAAU,999
a0063000008tRnGAAU,1001
a0063000008tRnHAAU,1004
a0063000008tRnIAAU,1010
a0063000008tRnJAAU,1014
a0063000008tRnKAAU,1015
a0063000008tRnLAAU,1016
a0063000008tRnMAAU,1032
a0063000008tRnNAAU,1036
a0063000008tRnOAAU,1047
a0063000008tRnPAAU,1060
a0063000008tRnQAAU,1063
a0063000008tRnRAAU,1065
a0063000008tRnSAAU,1066
a0063000008tRnTAAU,1069
a0063000008tRnUAAU,1077
a0063000008tRnVAAU,1078
a0063000008tRnWAAU,1089
a0063000008tRnXAAU,1090
a0063000008tRnYAAU,1093
a0063000008tRnZAAU,1100
a0063000008tRnaAAE,1103
a0063000008tRnbAAE,1105
a0063000008tRncAAE,1108
a0063000008tRndAAE,1121
a0063000008tRneAAE,1123
a0063000008tRnfAAE,1126
a0063000008tRngAAE,1134
a0063000008tRnhAAE,1136
a0063000008tRniAAE,1137
a0063000008tRnjAAE,1138
a0063000008tRnkAAE,1140
a0063000008tRnlAAE,1141
a0063000008tRnmAAE,1151
a0063000008tRnnAAE,1152
a0063000008tRnoAAE,1158
a0063000008tRnpAAE,1161
a0063000008tRnqAAE,1168
a0063000008tRnrAAE,1170
a0063000008tRnsAAE,1174
a0063000008tRntAAE,1192
a0063000008tRnuAAE,1193
a0063000008tRnvAAE,1196
a0063000008tRnwAAE,1199
a0063000008tRnxAAE,1200
a0063000008tRnyAAE,1201
a0063000008tRnzAAE,1203
a0063000008tRo0AAE,1205
a0063000008tRo1AAE,1211
a0063000008tRo2AAE,1220
a0063000008tRo3AAE,1221
a0063000008tRo4AAE,1231
a0063000008tRo5AAE,1236
a0063000008tRo6AAE,1239
a0063000008tRo7AAE,1243
a0063000008tRo8AAE,1255
a0063000008tRo9AAE,1260
a0063000008tRoAAAU,1262
a0063000008tRoBAAU,1264
a0063000008tRoCAAU,1268
a0063000008tRoDAAU,1270
a0063000008tRoEAAU,1287
a0063000008tRoFAAU,1289
a0063000008tRoGAAU,1290
a0063000008tRoHAAU,1294
a0063000008tRoIAAU,1300
a0063000008tRoJAAU,1303
a0063000008tRoKAAU,1306
a0063000008tRoLAAU,1307
a0063000008tRoMAAU,1311
a0063000008tRoNAAU,1316
a0063000008tRoOAAU,1317
a0063000008tRoPAAU,1328
a0063000008tRoQAAU,1329
a0063000008tRoRAAU,1333
a0063000008tRoSAAU,1336
a0063000008tRoTAAU,1339
a0063000008tRoUAAU,1342
a0063000008tRoVAAU,1344
a0063000008tRoWAAU,1350
a0063000008tRoXAAU,1360
a0063000008tRoYAAU,1362
a0063000008tRoZAAU,1365
a0063000008tRoaAAE,1375
a0063000008tRobAAE,1376
a0063000008tRocAAE,1388
a0063000008tRodAAE,1390
a0063000008tRoeAAE,1391
a0063000008tRofAAE,1393
a0063000008tRogAAE,1402
a0063000008tRohAAE,1406
a0063000008tRoiAAE,1410
a0063000008tRojAAE,1413
a0063000008tRokAAE,1415
a0063000008tRolAAE,1416
a0063000008tRomAAE,1428
a0063000008tRonAAE,1432
a0063000008tRooAAE,1436
a0063000008tRopAAE,1439
a0063000008tRoqAAE,1440
a0063000008tRorAAE,1444
a0063000008tRosAAE,1447
a0063000008tRotAAE,1453
a0063000008tRouAAE,1460
a0063000008tRovAAE,1461
a0063000008tRowAAE,1462
a0063000008tRoxAAE,1463
a0063000008tRoyAAE,1465
a0063000008tRozAAE,1470
a0063000008tRp0AAE,1484
a0063000008tRp1AAE,1489
a0063000008tRp2AAE,1493
a0063000008tRp3AAE,1499
a0063000008tRp4AAE,1500
a0063000008tRp5AAE,1501
a0063000008tRp6AAE,1510
a0063000008tRp7AAE,1515
a0063000008tRp8AAE,1521
a0063000008tRp9AAE,1533
a0063000008tRpAAAU,1534
a0063000008tRpBAAU,1537
a0063000008tRpCAAU,1539
a0063000008tRpDAAU,1542
a0063000008tRpEAAU,1543
a0063000008tRpFAAU,1546
a0063000008tRpGAAU,1547
a0063000008tRpHAAU,1556
a0063000008tRpIAAU,1561
a0063000008tRpJAAU,1569
a0063000008tRpKAAU,1579
a0063000008tRpLAAU,1587
a0063000008tRpMAAU,1590
a0063000008tRpNAAU,1592
a0063000008tRpOAAU,1594
a0063000008tRpPAAU,1599
a0063000008tRpQAAU,1600
a0063000008tRpRAAU,1602
a0063000008tRpSAAU,1606
a0063000008tRpTAAU,1610
a0063000008tRpUAAU,1614
a0063000008tRpVAAU,1615
a0063000008tRpWAAU,1621
a0063000008tRpXAAU,1624
a0063000008tRpYAAU,1627
a0063000008tRpZAAU,1635
a0063000008tRpaAAE,1646
a0063000008tRpbAAE,1651
a0063000008tRpcAAE,1654
a0063000008tRpdAAE,1656
a0063000008tRpeAAE,1660
a0063000008tRpfAAE,1662
a0063000008tRpgAAE,1672
a0063000008tRphAAE,1674
a0063000008tRpiAAE,1678
a0063000008tRpjAAE,1679
a0063000008tRpkAAE,1690
a0063000008tRplAAE,1693
a0063000008tRpmAAE,1694
a0063000008tRpnAAE,1700
a0063000008tRpoAAE,1704
a0063000008tRppAAE,1712
a0063000008tRpqAAE,1713
a0063000008tRprAAE,1723
a0063000008tRpsAAE,1724
a0063000008tRptAAE,1725
a0063000008tRpuAAE,1737
a0063000008tRpvAAE,1742
a0063000008tRpwAAE,1754
a0063000008tRpxAAE,1755
a0063000008tRpyAAE,1759
a0063000008tRpzAAE,1760
a0063000008tRq0AAE,1761
a0063000008tRq1AAE,1762
a0063000008tRq2AAE,1764
a0063000008tRq3AAE,1765
a0063000008tRq4AAE,1766
a0063000008tRq5AAE,44344
a0063000008tRq6AAE,44349
a0063000008tRq7AAE,44355
a0063000008tRq8AAE,44357
a0063000008tRq9AAE,44377
a0063000008tRqAAAU,44379
a0063000008tRqBAAU,44389
a0063000008tRqCAAU,44391
a0063000008tRqDAAU,44399
a0063000008tRqEAAU,44401
a0063000008tRqFAAU,44411
a0063000008tRqGAAU,44413
a0063000008tRqHAAU,44415
a0063000008tRqIAAU,44416
a0063000008tRqJAAU,44418
a0063000008tRqKAAU,44424
a0063000008tRqLAAU,44425
a0063000008tRqMAAU,44429
a0063000008tRqNAAU,44436
a0063000008tRqOAAU,44438
a0063000008tRqPAAU,44442
a0063000008tRqQAAU,44445
a0063000008tRqRAAU,44452
a0063000008tRqSAAU,44454
a0063000008tRqTAAU,44459
a0063000008tRqUAAU,44464
a0063000008tRqVAAU,44466
a0063000008tRqWAAU,44479
a0063000008tRqXAAU,44482
a0063000008tRqYAAU,44485
a0063000008tRqZAAU,44491
a0063000008tRqaAAE,44494
a0063000008tRqbAAE,44495
a0063000008tRqcAAE,44497
a0063000008tRqdAAE,44501
a0063000008tRqeAAE,44503
a0063000008tRqfAAE,44515
a0063000008tRqgAAE,44516
a0063000008tRqhAAE,44530
a0063000008tRqiAAE,44531
a0063000008tRqjAAE,44533
a0063000008tRqkAAE,44539
a0063000008tRqlAAE,44544
a0063000008tRqmAAE,44545
a0063000008tRqnAAE,44548
a0063000008tRqoAAE,44553
a0063000008tRqpAAE,44557
a0063000008tRqqAAE,44560
a0063000008tRqrAAE,44567
a0063000008tRqsAAE,44570
a0063000008tRqtAAE,44571
a0063000008tRquAAE,44572
a0063000008tRqvAAE,44574
a0063000008tRqwAAE,44576
a0063000008tRqxAAE,44579
a0063000008tRqyAAE,44587
a0063000008tRqzAAE,44590
a0063000008tRr0AAE,44592
a0063000008tRr1AAE,44614
a0063000008tRr2AAE,44616
a0063000008tRr3AAE,44622
a0063000008tRr4AAE,44626
a0063000008tRr5AAE,44631
a0063000008tRr6AAE,44643
a0063000008tRr7AAE,44645
a0063000008tRr8AAE,44654
a0063000008tRr9AAE,44656
a0063000008tRrAAAU,44658
a0063000008tRrBAAU,44667
a0063000008tRrCAAU,44668
a0063000008tRrDAAU,44675
a0063000008tRrEAAU,44679
a0063000008tRrFAAU,44685
a0063000008tRrGAAU,44693
a0063000008tRrHAAU,44698
a0063000008tRrIAAU,44704
a0063000008tRrJAAU,44709
a0063000008tRrKAAU,44710
a0063000008tRrLAAU,44714
a0063000008tRrMAAU,44715
a0063000008tRrNAAU,44716
a0063000008tRrOAAU,44719
a0063000008tRrPAAU,44730
a0063000008tRrQAAU,44731
a0063000008tRrRAAU,44733
a0063000008tRrSAAU,44738
a0063000008tRrTAAU,44740
a0063000008tRrUAAU,44744
a0063000008tRrVAAU,44747
a0063000008tRrWAAU,44748
a0063000008tRrXAAU,44755
a0063000008tRrYAAU,44761
a0063000008tRrZAAU,44768
a0063000008tRraAAE,44779
a0063000008tRrbAAE,44780
a0063000008tRrcAAE,44783
a0063000008tRrdAAE,44788
a0063000008tRreAAE,44792
a0063000008tRrfAAE,44806
a0063000008tRrgAAE,44807
a0063000008tRrhAAE,44808
a0063000008tRriAAE,44810
a0063000008tRrjAAE,44815
a0063000008tRrkAAE,44820
a0063000008tRrlAAE,44821
a0063000008tRrmAAE,44825
a0063000008tRrnAAE,44830
a0063000008tRroAAE,44833
a0063000008tRrpAAE,44842
a0063000008tRrqAAE,44845
a0063000008tRrrAAE,44853
a0063000008tRrsAAE,44858
a0063000008tRrtAAE,44860
a0063000008tRruAAE,44864
a0063000008tRrvAAE,44871
a0063000008tRrwAAE,44884
a0063000008tRrxAAE,44888
a0063000008tRryAAE,44891
a0063000008tRrzAAE,44898
a0063000008tRs0AAE,44905
a0063000008tRs1AAE,44908
a0063000008tRs2AAE,44914
a0063000008tRs3AAE,44917
a0063000008tRs4AAE,44919
a0063000008tRs5AAE,44921
a0063000008tRs6AAE,44922
a0063000008tRs7AAE,44927
a0063000008tRs8AAE,44928
a0063000008tRs9AAE,44929
a0063000008tRsAAAU,44940
a0063000008tRsBAAU,44941
a0063000008tRsCAAU,44942
a0063000008tRsDAAU,44945
a0063000008tRsEAAU,44947
a0063000008tRsFAAU,44952
a0063000008tRsGAAU,44954
a0063000008tRsHAAU,44962
a0063000008tRsIAAU,44965
a0063000008tRsJAAU,44971
a0063000008tRsKAAU,44973
a0063000008tRsLAAU,44975
a0063000008tRsMAAU,44981
a0063000008tRsNAAU,44983
a0063000008tRsOAAU,44984
a0063000008tRsPAAU,44985
a0063000008tRsQAAU,44986
a0063000008tRsRAAU,44993
a0063000008tRsSAAU,44998
a0063000008tRsTAAU,45004
a0063000008tRsUAAU,45020
a0063000008tRsVAAU,45029
a0063000008tRsWAAU,45030
a0063000008tRsXAAU,45034
a0063000008tRsYAAU,45036
a0063000008tRsZAAU,45044
a0063000008tRsaAAE,45047
a0063000008tRsbAAE,45048
a0063000008tRscAAE,45057
a0063000008tRsdAAE,45065
a0063000008tRseAAE,45070
a0063000008tRsfAAE,45076
a0063000008tRsgAAE,45081
a0063000008tRshAAE,45083
a0063000008tRsiAAE,45092
a0063000008tRsjAAE,45094
a0063000008tRskAAE,45095
a0063000008tRslAAE,45099
a0063000008tRsmAAE,45100
a0063000008tRsnAAE,45104
a0063000008tRsoAAE,45109
a0063000008tRspAAE,45120
a0063000008tRsqAAE,45121
a0063000008tRsrAAE,45129
a0063000008tRssAAE,45130
a0063000008tRstAAE,45132
a0063000008tRsuAAE,45134
a0063000008tRsvAAE,45138
a0063000008tRswAAE,45141
a0063000008tRsxAAE,45143
a0063000008tRsyAAE,45156
a0063000008tRszAAE,45157
a0063000008tRt0AAE,45163
a0063000008tRt1AAE,45167
a0063000008tRt2AAE,45171
a0063000008tRt3AAE,45175
a0063000008tRt4AAE,45185
a0063000008tRt5AAE,45191
a0063000008tRt6AAE,45195
a0063000008tRt7AAE,45197
a0063000008tRt8AAE,45203
a0063000008tRt9AAE,45204
a0063000008tRtAAAU,45211
a0063000008tRtBAAU,45220
a0063000008tRtCAAU,45222
a0063000008tRtDAAU,45225
a0063000008tRtEAAU,45228
a0063000008tRtFAAU,45238
a0063000008tRtGAAU,45244
a0063000008tRtHAAU,45247
a0063000008tRtIAAU,45253
a0063000008tRtJAAU,45255
a0063000008tRtKAAU,45256
a0063000008tRtLAAU,45264
a0063000008tRtMAAU,45265
a0063000008tRtNAAU,45269
a0063000008tRtOAAU,45270
a0063000008tRtPAAU,45272
a0063000008tRtQAAU,45273
a0063000008tRtRAAU,45293
a0063000008tRtSAAU,45295
a0063000008tRtTAAU,45299
a0063000008tRtUAAU,45306
a0063000008tRtVAAU,45307
a0063000008tRtWAAU,45310
a0063000008tRtXAAU,45312
a0063000008tRtYAAU,45318
a0063000008tRtZAAU,45320
a0063000008tRtaAAE,45324
a0063000008tRtbAAE,45325
a0063000008tRtcAAE,45331
a0063000008tRtdAAE,45333
a0063000008tRteAAE,45351
a0063000008tRtfAAE,45352
a0063000008tRtgAAE,45353
a0063000008tRthAAE,45354
a0063000008tRtiAAE,45364
a0063000008tRtjAAE,45366
a0063000008tRtkAAE,45370
a0063000008tRtlAAE,45378
a0063000008tRtmAAE,45382
a0063000008tRtnAAE,45384
a0063000008tRtoAAE,45386
a0063000008tRtpAAE,45387
a0063000008tRtqAAE,45396
a0063000008tRtrAAE,45398
a0063000008tRtsAAE,45404
a0063000008tRttAAE,45407
a0063000008tRtuAAE,45415
a0063000008tRtvAAE,45418
a0063000008tRtwAAE,45419
a0063000008tRtxAAE,45421
a0063000008tRtyAAE,45422
a0063000008tRtzAAE,45431
a0063000008tRu0AAE,45432
a0063000008tRu1AAE,45434
a0063000008tRu2AAE,45438
a0063000008tRu3AAE,45448
a0063000008tRu4AAE,45449
a0063000008tRu5AAE,45456
a0063000008tRu6AAE,45457
a0063000008tRu7AAE,45458
a0063000008tRu8AAE,45473
a0063000008tRu9AAE,45475
a0063000008tRuAAAU,45480
a0063000008tRuBAAU,45484
a0063000008tRuCAAU,45493
a0063000008tRuDAAU,45495
a0063000008tRuEAAU,45499
a0063000008tRuFAAU,45501
a0063000008tRuGAAU,45505
a0063000008tRuHAAU,45509
a0063000008tRuIAAU,45514
a0063000008tRuJAAU,45515
a0063000008tRuKAAU,45524
a0063000008tRuLAAU,45526
a0063000008tRuMAAU,45532
a0063000008tRuNAAU,45545
a0063000008tRuOAAU,45554
a0063000008tRuPAAU,45556
a0063000008tRuQAAU,45564
a0063000008tRuRAAU,45565
a0063000008tRuSAAU,45566
a0063000008tRuTAAU,45568
a0063000008tRuUAAU,45573
a0063000008tRuVAAU,45574
a0063000008tRuWAAU,45576
a0063000008tRuXAAU,45579
a0063000008tRuYAAU,45590
a0063000008tRuZAAU,45593
a0063000008tRuaAAE,45598
a0063000008tRubAAE,45600
a0063000008tRucAAE,45603
a0063000008tRudAAE,45608
a0063000008tRueAAE,45612
a0063000008tRufAAE,45613
a0063000008tRugAAE,45630
a0063000008tRuhAAE,45634
a0063000008tRuiAAE,45643
a0063000008tRujAAE,45646
a0063000008tRukAAE,45649
a0063000008tRulAAE,45653
a0063000008tRumAAE,45654
a0063000008tRunAAE,45656
a0063000008tRuoAAE,45658
a0063000008tRupAAE,45662
a0063000008tRuqAAE,45663
a0063000008tRurAAE,45664
a0063000008tRusAAE,45685
a0063000008tRutAAE,45688
a0063000008tRuuAAE,45689
a0063000008tRuvAAE,45692
a0063000008tRuwAAE,45704
a0063000008tRuxAAE,45705
a0063000008tRuyAAE,45706
a0063000008tRuzAAE,45710
a0063000008tRv0AAE,45717
a0063000008tRv1AAE,45723
a0063000008tRv2AAE,45726
a0063000008tRv3AAE,45730
a0063000008tRv4AAE,45736
a0063000008tRv5AAE,45737
a0063000008tRv6AAE,45739
a0063000008tRv7AAE,45742
a0063000008tRv8AAE,45746
a0063000008tRv9AAE,45748
a0063000008tRvAAAU,45749
a0063000008tRvBAAU,45757
a0063000008tRvCAAU,45769
a0063000008tRvDAAU,45771
a0063000008tRvEAAU,45778
a0063000008tRvFAAU,45780
a0063000008tRvGAAU,45787
a0063000008tRvHAAU,45792
a0063000008tRvIAAU,45794
a0063000008tRvJAAU,45801
a0063000008tRvKAAU,45802
a0063000008tRvLAAU,45804
a0063000008tRvMAAU,45806
a0063000008tRvNAAU,45810
a0063000008tRvOAAU,45812
a0063000008tRvPAAU,45816
a0063000008tRvQAAU,45818
a0063000008tRvRAAU,45823
a0063000008tRvSAAU,45835
a0063000008tRvTAAU,45841
a0063000008tRvUAAU,45843
a0063000008tRvVAAU,45848
a0063000008tRvWAAU,45855
a0063000008tRvXAAU,45862
a0063000008tRvYAAU,45864
a0063000008tRvZAAU,45868
a0063000008tRvaAAE,45874
a0063000008tRvbAAE,45877
a0063000008tRvcAAE,45879
a0063000008tRvdAAE,45880
a0063000008tRveAAE,45888
a0063000008tRvfAAE,45889
a0063000008tRvgAAE,45898
a0063000008tRvhAAE,45899
a0063000008tRviAAE,45902
a0063000008tRvjAAE,45906
a0063000008tRvkAAE,45909
a0063000008tRvlAAE,45912
a0063000008tRvmAAE,45914
a0063000008tRvnAAE,45916
a0063000008tRvoAAE,45918
a0063000008tRvpAAE,45919
a0063000008tRvqAAE,45934
a0063000008tRvrAAE,45950
a0063000008tRvsAAE,45952
a0063000008tRvtAAE,45954
a0063000008tRvuAAE,45955
a0063000008tRvvAAE,45956
a0063000008tRvwAAE,45963
a0063000008tRvxAAE,45964
a0063000008tRvyAAE,45969
a0063000008tRvzAAE,45981
a0063000008tRw0AAE,45983
a0063000008tRw1AAE,45987
a0063000008tRw2AAE,45994
a0063000008tRw3AAE,45996
a0063000008tRw4AAE,46000
a0063000008tRw5AAE,46001
a0063000008tRw6AAE,46003
a0063000008tRw7AAE,46020
a0063000008tRw8AAE,46022
a0063000008tRw9AAE,46032
a0063000008tRwAAAU,46034
a0063000008tRwBAAU,46038
a0063000008tRwCAAU,46044
a0063000008tRwDAAU,46045
a0063000008tRwEAAU,46047
a0063000008tRwFAAU,46054
a0063000008tRwGAAU,46056
a0063000008tRwHAAU,46059
a0063000008tRwIAAU,46069
a0063000008tRwJAAU,46072
a0063000008tRwKAAU,46076
a0063000008tRwLAAU,46084
a0063000008tRwMAAU,46087
a0063000008tRwNAAU,46092
a0063000008tRwOAAU,46093
a0063000008tRwPAAU,46096
a0063000008tRwQAAU,46098
a0063000008tRwRAAU,46100
a0063000008tRwSAAU,46102
a0063000008tRwTAAU,46103
a0063000008tRwUAAU,46129
a0063000008tRwVAAU,46135
a0063000008tRwWAAU,46137
a0063000008tRwXAAU,1770
a0063000008tRwYAAU,1773
a0063000008tRwZAAU,1775
a0063000008tRwaAAE,1782
a0063000008tRwbAAE,1794
a0063000008tRwcAAE,1795
a0063000008tRwdAAE,1801
a0063000008tRweAAE,1809
a0063000008tRwfAAE,1814
a0063000008tRwgAAE,1815
a0063000008tRwhAAE,1816
a0063000008tRwiAAE,1818
a0063000008tRwjAAE,1823
a0063000008tRwkAAE,1832
a0063000008tRwlAAE,1836
a0063000008tRwmAAE,1845
a0063000008tRwnAAE,1846
a0063000008tRwoAAE,1848
a0063000008tRwpAAE,1854
a0063000008tRwqAAE,1863
a0063000008tRwrAAE,1867
a0063000008tRwsAAE,1868
a0063000008tRwtAAE,1871
a0063000008tRwuAAE,1875
a0063000008tRwvAAE,1879
a0063000008tRwwAAE,1886
a0063000008tRwxAAE,1889
a0063000008tRwyAAE,1892
a0063000008tRwzAAE,1894
a0063000008tRx0AAE,1911
a0063000008tRx1AAE,1917
a0063000008tRx2AAE,1921
a0063000008tRx3AAE,1923
a0063000008tRx4AAE,1932
a0063000008tRx5AAE,1943
a0063000008tRx6AAE,1945
a0063000008tRx7AAE,1947
a0063000008tRx8AAE,1959
a0063000008tRx9AAE,1962
a0063000008tRxAAAU,1963
a0063000008tRxBAAU,1965
a0063000008tRxCAAU,1972
a0063000008tRxDAAU,1975
a0063000008tRxEAAU,1979
a0063000008tRxFAAU,1980
a0063000008tRxGAAU,1981
a0063000008tRxHAAU,1985
a0063000008tRxIAAU,1991
a0063000008tRxJAAU,1992
a0063000008tRxKAAU,1993
a0063000008tRxLAAU,2002
a0063000008tRxMAAU,2005
a0063000008tRxNAAU,2013
a0063000008tRxOAAU,2018
a0063000008tRxPAAU,2025
a0063000008tRxQAAU,2027
a0063000008tRxRAAU,2035
a0063000008tRxSAAU,2042
a0063000008tRxTAAU,2044
a0063000008tRxUAAU,2047
a0063000008tRxVAAU,2048
a0063000008tRxWAAU,2049
a0063000008tRxXAAU,2051
a0063000008tRxYAAU,2054
a0063000008tRxZAAU,2061
a0063000008tRxaAAE,2063
a0063000008tRxbAAE,2064
a0063000008tRxcAAE,2080
a0063000008tRxdAAE,2083
a0063000008tRxeAAE,2084
a0063000008tRxfAAE,2088
a0063000008tRxgAAE,2092
a0063000008tRxhAAE,2095
a0063000008tRxiAAE,2097
a0063000008tRxjAAE,2100
a0063000008tRxkAAE,2104
a0063000008tRxlAAE,2130
a0063000008tRxmAAE,2131
a0063000008tRxnAAE,2135
a0063000008tRxoAAE,2139
a0063000008tRxpAAE,2140
a0063000008tRxqAAE,2145
a0063000008tRxrAAE,2151
a0063000008tRxsAAE,2152
a0063000008tRxtAAE,2155
a0063000008tRxuAAE,2156
a0063000008tRxvAAE,2158
a0063000008tRxwAAE,2164
a0063000008tRxxAAE,2166
a0063000008tRxyAAE,2171
a0063000008tRxzAAE,2173
a0063000008tRy0AAE,2177
