Id,External_Id__c,AccountSource,Industry,Rating,Type,AnnualRevenue,Credit_Score__c,Days_Since_Last_Purchase__c,Transactions__c,NumberOfEmployees,Name
001630000144iFfAAI,19,Phone Inquiry,Machinery,Cold,Customer - Direct,25651.94,443.33,277.5,19,133,Phone Inquiry-00000-19
001630000144iFgAAI,20,Purchased List,Finance,Warm,Customer - Direct,40468.87,473.08,228,18,12,Purchased List-00000-20
001630000144iFhAAI,21,Other,Finance,Unrated,Customer - Channel,18198.26,414.12,178.5,21,185,Other-00000-21
001630000144iFiAAI,22,Web,Telecommunications,Unrated,Prospect,63116.96,372.55,169.5,14,513,Web-00000-22
001630000144iFjAAI,23,Phone Inquiry,Construction,Warm,Prospect,19876.91,610.83,115.5,11,614,Phone Inquiry-00000-23
001630000144iFkAAI,24,Other,Machinery,Warm,Installation Partner,59310.91,317.3,138,11,680,Other-00000-24
001630000144iFlAAI,25,Partner Referral,Construction,Warm,Other,3577.11,459.75,291,18,302,Partner Referral-00000-25
001630000144iFmAAI,26,Partner Referral,Agriculture,Warm,Prospect,48101.1,257.12,52.5,20,499,Partner Referral-00000-26
001630000144iFnAAI,27,Web,Agriculture,Primer,Prospect,36656.63,494.48,286.5,16,163,Web-00000-27
001630000144iFoAAI,28,Purchased List,Machinery,Hot,Prospect,49592.08,342.72,102,17,579,Purchased List-00000-28
001630000144iFpAAI,29,Web,Agriculture,Unrated,Other,42892.91,209.09,160.5,21,408,Web-00000-29
001630000144iFqAAI,30,Phone Inquiry,Finance,Cold,Customer - Channel,33495.39,331.83,268.5,14,620,Phone Inquiry-00000-30
001630000144iFrAAI,31,Partner Referral,Construction,Warm,Installation Partner,4880.14,369.68,412.5,13,179,Partner Referral-00000-31
001630000144iFsAAI,32,Web,Agriculture,Primer,Customer - Channel,27247.73,482.24,178.5,13,658,Web-00000-32
001630000144iFtAAI,33,Other,Telecommunications,Warm,Installation Partner,62224.99,45.44,169.5,18,462,Other-00000-33
001630000144iFuAAI,34,Other,Agriculture,Hot,Other,22767.73,360.87,120,13,833,Other-00000-34
001630000144iFvAAI,35,Web,Telecommunications,Hot,Customer - Channel,51479.33,452.12,313.5,11,203,Web-00000-35
001630000144iFwAAI,36,Purchased List,Telecommunications,Hot,Customer - Channel,47868.86,319.57,250.5,17,389,Purchased List-00000-36
001630000144iFxAAI,37,Web,Telecommunications,Warm,Installation Partner,38821.38,174.33,300,13,657,Web-00000-37
001630000144iFyAAI,38,Phone Inquiry,Construction,Hot,Prospect,26821,227.61,255,20,455,Phone Inquiry-00000-38
001630000144iFzAAI,39,Purchased List,Agriculture,Hot,Prospect,25335.12,214.06,61.5,24,194,Purchased List-00000-39
001630000144iG0AAI,40,Other,Construction,Unrated,Customer - Channel,29759.62,421.08,282,18,296,Other-00000-40
001630000144iG1AAI,41,Phone Inquiry,Agriculture,Cold,Prospect,30415.27,182.95,228,19,555,Phone Inquiry-00000-41
001630000144iG2AAI,42,Partner Referral,Finance,Unrated,Installation Partner,48329.86,358.98,241.5,17,427,Partner Referral-00000-42
001630000144iG3AAI,43,Purchased List,Construction,Hot,Customer - Direct,11881.85,312.71,169.5,17,743,Purchased List-00000-43
001630000144iG4AAI,44,Other,Machinery,Warm,Customer - Channel,47126.85,506.34,93,18,336,Other-00000-44
001630000144iG5AAI,45,Purchased List,Construction,Hot,Prospect,55591.8,247.45,223.5,18,405,Purchased List-00000-45
001630000144iG6AAI,46,Partner Referral,Finance,Primer,Customer - Channel,12740.54,472.17,93,17,660,Partner Referral-00000-46
001630000144iG7AAI,47,Other,Finance,Cold,Customer - Channel,55724.07,414.62,241.5,12,471,Other-00000-47
001630000144iG8AAI,48,Purchased List,Machinery,Unrated,Installation Partner,22637.21,140.18,358.5,17,440,Purchased List-00000-48
001630000144iG9AAI,49,Purchased List,Construction,Primer,Customer - Channel,42939.57,294.6,286.5,19,181,Purchased List-00000-49
001630000144iGAAAY,50,Partner Referral,Finance,Cold,Customer - Direct,32669.54,321.94,133.5,13,824,Partner Referral-00000-50
001630000144iGBAAY,51,Other,Construction,Primer,Installation Partner,63000.89,146.21,336,15,129,Other-00000-51
001630000144iGCAAY,52,Other,Machinery,Hot,Other,52564.96,539.41,241.5,14,12,Other-00000-52
001630000144iGDAAY,53,Phone Inquiry,Machinery,Unrated,Other,25871.07,310.53,264,18,467,Phone Inquiry-00000-53
001630000144iGEAAY,54,Web,Telecommunications,Hot,Prospect,4926.27,795.96,97.5,12,26,Web-00000-54
001630000144iGFAAY,55,Purchased List,Telecommunications,Primer,Installation Partner,37612.38,179.34,201,17,677,Purchased List-00000-55
001630000144iGGAAY,56,Phone Inquiry,Machinery,Cold,Installation Partner,10606.96,760.87,178.5,11,32,Phone Inquiry-00000-56
001630000144iGHAAY,57,Purchased List,Telecommunications,Primer,Prospect,72784.87,200.33,264,13,335,Purchased List-00000-57
001630000144iGIAAY,58,Partner Referral,Agriculture,Primer,Other,91173.27,73.06,138,12,346,Partner Referral-00000-58
001630000144iGJAAY,59,Partner Referral,Construction,Hot,Installation Partner,22356.25,464.81,228,13,634,Partner Referral-00000-59
001630000144iGKAAY,60,Partner Referral,Telecommunications,Primer,Customer - Channel,41843.43,151.53,349.5,18,171,Partner Referral-00000-60
001630000144iGLAAY,61,Other,Agriculture,Unrated,Customer - Channel,64796.8,344.2,88.5,12,626,Other-00000-61
001630000144iGMAAY,62,Phone Inquiry,Machinery,Warm,Customer - Direct,41828.83,304.05,187.5,18,559,Phone Inquiry-00000-62
001630000144iGNAAY,63,Purchased List,Finance,Primer,Customer - Direct,62869.76,387.42,120,17,389,Purchased List-00000-63
001630000144iGOAAY,64,Web,Finance,Hot,Other,50116.31,320.09,214.5,18,381,Web-00000-64
001630000144iGPAAY,65,Purchased List,Agriculture,Primer,Prospect,63298.64,265.87,147,20,199,Purchased List-00000-65
001630000144iGQAAY,66,Partner Referral,Finance,Unrated,Other,21359.96,316.19,268.5,21,42,Partner Referral-00000-66
001630000144iGRAAY,67,Purchased List,Machinery,Cold,Customer - Channel,62758.04,283.08,183,18,316,Purchased List-00000-67
001630000144iGSAAY,68,Other,Telecommunications,Warm,Customer - Channel,60813.62,161.23,363,12,206,Other-00000-68
001630000144iGTAAY,69,Other,Construction,Cold,Other,66678.16,239.92,196.5,15,498,Other-00000-69
001630000144iGUAAY,70,Purchased List,Construction,Unrated,Installation Partner,10727.22,416.25,277.5,18,371,Purchased List-00000-70
001630000144iGVAAY,71,Web,Telecommunications,Cold,Prospect,13322.11,75,30,22,619,Web-00000-71
001630000144iGWAAY,72,Other,Machinery,Primer,Installation Partner,44638.62,113.87,309,14,606,Other-00000-72
001630000144iGXAAY,73,Partner Referral,Telecommunications,Unrated,Other,35647.08,23.44,196.5,18,698,Partner Referral-00000-73
001630000144iGYAAY,74,Partner Referral,Telecommunications,Cold,Prospect,30153.67,121.85,331.5,13,636,Partner Referral-00000-74
001630000144iGZAAY,75,Other,Telecommunications,Primer,Prospect,10352.15,416.34,129,19,597,Other-00000-75
001630000144iGaAAI,76,Phone Inquiry,Agriculture,Primer,Prospect,41743.32,315.04,277.5,13,587,Phone Inquiry-00000-76
001630000144iGbAAI,77,Phone Inquiry,Construction,Unrated,Prospect,7538.79,363.11,210,21,372,Phone Inquiry-00000-77
001630000144iGcAAI,78,Purchased List,Telecommunications,Cold,Prospect,48723.9,184.76,133.5,17,683,Purchased List-00000-78
001630000144iGdAAI,79,Phone Inquiry,Agriculture,Unrated,Prospect,44907.79,453.23,66,16,582,Phone Inquiry-00000-79
001630000144iGeAAI,80,Other,Telecommunications,Unrated,Customer - Direct,53111.37,170.44,34.5,11,836,Other-00000-80
001630000144iGfAAI,81,Web,Finance,Primer,Customer - Direct,3930.56,310.58,210,19,580,Web-00000-81
001630000144iGgAAI,82,Web,Finance,Cold,Installation Partner,21236.46,416.96,57,15,767,Web-00000-82
001630000144iGhAAI,83,Phone Inquiry,Machinery,Hot,Customer - Direct,52948.64,342.49,124.5,19,351,Phone Inquiry-00000-83
001630000144iGiAAI,84,Partner Referral,Machinery,Unrated,Installation Partner,87335.76,100.8,237,10,193,Partner Referral-00000-84
001630000144iGjAAI,85,Partner Referral,Machinery,Cold,Customer - Channel,44756.74,101.87,268.5,10,726,Partner Referral-00000-85
001630000144iGkAAI,86,Other,Telecommunications,Cold,Prospect,38745.94,99.81,309,18,427,Other-00000-86
001630000144iGlAAI,87,Web,Finance,Warm,Installation Partner,66343.23,157.6,286.5,14,392,Web-00000-87
001630000144iGmAAI,88,Purchased List,Agriculture,Hot,Customer - Direct,13175.5,379.91,403.5,14,85,Purchased List-00000-88
001630000144iGnAAI,89,Partner Referral,Finance,Warm,Prospect,39036.39,428.29,241.5,10,611,Partner Referral-00000-89
001630000144iGoAAI,90,Partner Referral,Telecommunications,Hot,Prospect,35705.7,586.18,264,13,267,Partner Referral-00000-90
001630000144iGpAAI,91,Other,Agriculture,Warm,Installation Partner,38405.33,537.99,169.5,12,558,Other-00000-91
001630000144iGqAAI,92,Phone Inquiry,Finance,Primer,Customer - Direct,32101.37,497.5,309,15,239,Phone Inquiry-00000-92
001630000144iGrAAI,93,Partner Referral,Machinery,Unrated,Other,76227.02,105.12,295.5,13,226,Partner Referral-00000-93
001630000144iGsAAI,94,Purchased List,Construction,Unrated,Installation Partner,61790.1,203.49,169.5,14,647,Purchased List-00000-94
001630000144iGtAAI,95,Partner Referral,Telecommunications,Primer,Prospect,40985.77,404.17,268.5,14,496,Partner Referral-00000-95
001630000144iGuAAI,96,Partner Referral,Finance,Hot,Prospect,53728.33,173.68,282,16,437,Partner Referral-00000-96
001630000144iGvAAI,97,Partner Referral,Machinery,Unrated,Customer - Channel,43103.03,286.26,327,14,454,Partner Referral-00000-97
001630000144iGwAAI,98,Other,Telecommunications,Cold,Other,14853.09,542.56,129,15,619,Other-00000-98
001630000144iGxAAI,99,Phone Inquiry,Machinery,Unrated,Customer - Channel,9231.16,412.23,160.5,21,342,Phone Inquiry-00000-99
001630000144iGyAAI,100,Web,Machinery,Unrated,Customer - Channel,16512.7,256.54,318,20,221,Web-00000-100
001630000144iGzAAI,101,Web,Telecommunications,Unrated,Prospect,39974.59,499.83,57,16,559,Web-00000-101
001630000144iH0AAI,102,Web,Machinery,Unrated,Other,66425.35,510.54,214.5,12,63,Web-00000-102
001630000144iH1AAI,103,Other,Machinery,Cold,Other,37488.22,320.56,214.5,19,465,Other-00000-103
001630000144iH2AAI,104,Other,Telecommunications,Primer,Installation Partner,71604.09,412.01,205.5,11,317,Other-00000-104
001630000144iH3AAI,105,Partner Referral,Agriculture,Cold,Customer - Channel,66257.23,62.51,300,15,359,Partner Referral-00000-105
001630000144iH4AAI,106,Purchased List,Telecommunications,Primer,Customer - Channel,8166.67,276.29,291,14,704,Purchased List-00000-106
001630000144iH5AAI,107,Partner Referral,Telecommunications,Hot,Customer - Direct,54981.7,445.23,255,10,415,Partner Referral-00000-107
001630000144iH6AAI,108,Partner Referral,Agriculture,Primer,Customer - Direct,42762.53,210.15,277.5,15,603,Partner Referral-00000-108
001630000144iH7AAI,109,Purchased List,Construction,Cold,Customer - Channel,70281.57,234.64,142.5,18,329,Purchased List-00000-109
001630000144iH8AAI,110,Purchased List,Construction,Primer,Other,24206.09,292.14,210,19,524,Purchased List-00000-110
001630000144iH9AAI,111,Other,Machinery,Unrated,Customer - Channel,35372.1,111.62,34.5,19,739,Other-00000-111
001630000144iHAAAY,112,Purchased List,Finance,Unrated,Installation Partner,43938.69,332.01,160.5,21,12,Purchased List-00000-112
001630000144iHBAAY,113,Purchased List,Construction,Cold,Other,79318.06,321.77,97.5,16,238,Purchased List-00000-113
001630000144iHCAAY,114,Partner Referral,Machinery,Unrated,Customer - Channel,15673.89,437.39,318,18,22,Partner Referral-00000-114
001630000144iHDAAY,115,Other,Construction,Cold,Customer - Direct,7922.08,616.53,93,18,314,Other-00000-115
001630000144iHEAAY,116,Partner Referral,Machinery,Hot,Other,59636.33,381.52,102,17,455,Partner Referral-00000-116
001630000144iHFAAY,117,Phone Inquiry,Machinery,Primer,Installation Partner,54170.71,389.31,75,17,499,Phone Inquiry-00000-117
001630000144iHXAAY,135,Other,Construction,Cold,Installation Partner,19067.55,615.8,79.5,16,452,Other-00000-135
001630000144iHYAAY,136,Purchased List,Finance,Primer,Installation Partner,4822.91,210.34,228,22,319,Purchased List-00000-136
001630000144iHZAAY,137,Purchased List,Machinery,Hot,Customer - Channel,64338.67,62,367.5,12,19,Purchased List-00000-137
001630000144iHaAAI,138,Purchased List,Finance,Unrated,Customer - Direct,72355.88,177.35,237,13,454,Purchased List-00000-138
001630000144iHGAAY,118,Other,Agriculture,Unrated,Other,19822.11,502.5,318,13,387,Other-00000-118
001630000144iHHAAY,119,Other,Machinery,Warm,Installation Partner,25717.55,401.36,178.5,20,331,Other-00000-119
001630000144iHbAAI,139,Other,Telecommunications,Hot,Customer - Direct,2077.16,649.33,124.5,18,130,Other-00000-139
001630000144iHcAAI,140,Purchased List,Machinery,Warm,Installation Partner,14155.77,548.92,174,11,659,Purchased List-00000-140
001630000144iHdAAI,141,Web,Construction,Warm,Prospect,26803.37,596.53,219,17,10,Web-00000-141
001630000144iHeAAI,142,Purchased List,Machinery,Warm,Customer - Channel,42309.46,427.26,246,18,262,Purchased List-00000-142
001630000144iHfAAI,143,Web,Agriculture,Hot,Installation Partner,6576.18,360.42,142.5,19,647,Web-00000-143
001630000144iHgAAI,144,Web,Finance,Hot,Customer - Direct,64774.38,341.49,246,16,203,Web-00000-144
001630000144iHhAAI,145,Web,Agriculture,Cold,Installation Partner,23054.81,463.14,259.5,18,254,Web-00000-145
001630000144iHiAAI,146,Partner Referral,Agriculture,Warm,Other,45363.9,503.3,295.5,13,214,Partner Referral-00000-146
001630000144iHjAAI,147,Purchased List,Telecommunications,Warm,Prospect,60731.92,331.52,223.5,16,367,Purchased List-00000-147
001630000144iHkAAI,148,Phone Inquiry,Machinery,Warm,Installation Partner,28157.14,632.75,205.5,16,104,Phone Inquiry-00000-148
001630000144iHlAAI,149,Partner Referral,Agriculture,Unrated,Prospect,39893.68,214.65,349.5,12,526,Partner Referral-00000-149
001630000144iHmAAI,150,Web,Telecommunications,Primer,Customer - Direct,16816.67,469.05,300,18,115,Web-00000-150
001630000144iHnAAI,151,Phone Inquiry,Agriculture,Unrated,Prospect,40936.78,256.43,309,18,335,Phone Inquiry-00000-151
001630000144iHoAAI,152,Web,Construction,Cold,Prospect,34756.14,238.88,196.5,19,536,Web-00000-152
001630000144iHIAAY,120,Phone Inquiry,Agriculture,Warm,Other,51172.93,249.38,264,10,636,Phone Inquiry-00000-120
001630000144iHJAAY,121,Purchased List,Machinery,Warm,Customer - Channel,31707.99,530.47,187.5,13,568,Purchased List-00000-121
001630000144iHKAAY,122,Other,Finance,Primer,Other,3950.44,138.48,322.5,19,425,Other-00000-122
001630000144iHLAAY,123,Purchased List,Agriculture,Cold,Customer - Direct,30518.76,543.99,264,13,406,Purchased List-00000-123
001630000144iHMAAY,124,Partner Referral,Agriculture,Warm,Installation Partner,22761.38,540.35,223.5,17,311,Partner Referral-00000-124
001630000144iHNAAY,125,Web,Agriculture,Unrated,Other,69611.5,301.37,138,17,377,Web-00000-125
001630000144iHOAAY,126,Purchased List,Construction,Primer,Prospect,77360.11,462.28,138,13,104,Purchased List-00000-126
001630000144iHPAAY,127,Web,Construction,Warm,Prospect,15979.9,315.35,309,11,675,Web-00000-127
001630000144iHQAAY,128,Purchased List,Construction,Cold,Customer - Direct,60373.95,550.34,115.5,12,370,Purchased List-00000-128
001630000144iHRAAY,129,Purchased List,Finance,Primer,Customer - Direct,16945.74,425.9,300,19,64,Purchased List-00000-129
001630000144iHSAAY,130,Purchased List,Agriculture,Cold,Customer - Direct,55731.97,415.14,205.5,18,217,Purchased List-00000-130
001630000144iHTAAY,131,Purchased List,Machinery,Primer,Customer - Direct,7172.97,243.18,313.5,18,521,Purchased List-00000-131
001630000144iHUAAY,132,Web,Telecommunications,Hot,Other,56895.79,24.15,223.5,18,445,Web-00000-132
001630000144iHVAAY,133,Purchased List,Finance,Unrated,Installation Partner,17477.4,554.48,102,11,704,Purchased List-00000-133
001630000144iHWAAY,134,Web,Machinery,Hot,Customer - Channel,15757.26,371.66,403.5,14,70,Web-00000-134
001630000144iHpAAI,153,Purchased List,Agriculture,Primer,Other,39277.93,58.67,282,21,205,Purchased List-00000-153
001630000144iHqAAI,154,Phone Inquiry,Agriculture,Cold,Customer - Direct,16703.89,367.8,363,13,432,Phone Inquiry-00000-154
001630000144iHrAAI,155,Web,Construction,Cold,Prospect,38208.48,325.94,192,18,567,Web-00000-155
001630000144iHsAAI,156,Other,Agriculture,Primer,Other,10437.46,372.23,241.5,16,631,Other-00000-156
001630000144iHtAAI,157,Partner Referral,Finance,Hot,Other,35778.26,145.68,399,13,392,Partner Referral-00000-157
001630000144iHuAAI,158,Purchased List,Agriculture,Hot,Customer - Channel,36265.31,455.59,345,13,211,Purchased List-00000-158
001630000144iHvAAI,159,Partner Referral,Finance,Cold,Installation Partner,47006.41,429.89,241.5,16,356,Partner Referral-00000-159
001630000144iHwAAI,160,Other,Finance,Warm,Customer - Direct,29432.74,197.31,174,21,453,Other-00000-160
001630000144iHxAAI,161,Phone Inquiry,Machinery,Warm,Other,28562.2,298.77,201,19,554,Phone Inquiry-00000-161
001630000144iHyAAI,162,Phone Inquiry,Machinery,Hot,Other,33326.23,341.13,39,19,625,Phone Inquiry-00000-162
001630000144iHzAAI,163,Purchased List,Machinery,Warm,Customer - Direct,23695.46,390.55,277.5,20,117,Purchased List-00000-163
001630000144iI0AAI,164,Phone Inquiry,Finance,Unrated,Customer - Direct,65858.91,224.44,124.5,14,628,Phone Inquiry-00000-164
001630000144iI1AAI,165,Phone Inquiry,Machinery,Warm,Prospect,65324.05,91.16,219,17,447,Phone Inquiry-00000-165
001630000144iI2AAI,166,Phone Inquiry,Construction,Unrated,Customer - Channel,77771.14,314.17,147,16,131,Phone Inquiry-00000-166
001630000144iI3AAI,167,Phone Inquiry,Construction,Warm,Customer - Channel,80218.38,100.4,255,15,90,Phone Inquiry-00000-167
001630000144iI4AAI,168,Web,Machinery,Unrated,Prospect,59411.27,549.5,183,12,260,Web-00000-168
001630000144iI5AAI,169,Phone Inquiry,Machinery,Hot,Customer - Direct,16107.04,540.2,358.5,10,94,Phone Inquiry-00000-169
001630000144iI6AAI,170,Purchased List,Telecommunications,Primer,Customer - Channel,47638.26,397.94,174,18,424,Purchased List-00000-170
001630000144iI7AAI,171,Partner Referral,Agriculture,Cold,Other,27108.21,573.51,223.5,14,441,Partner Referral-00000-171
001630000144iI8AAI,172,Phone Inquiry,Agriculture,Unrated,Other,61976.93,408.33,282,14,124,Phone Inquiry-00000-172
001630000144iI9AAI,173,Partner Referral,Construction,Cold,Installation Partner,15160.76,489.36,129,21,105,Partner Referral-00000-173
001630000144iIAAAY,174,Purchased List,Finance,Unrated,Other,52920.69,450.2,277.5,10,371,Purchased List-00000-174
001630000144iIBAAY,175,Partner Referral,Construction,Hot,Other,65096.02,439.9,79.5,16,339,Partner Referral-00000-175
001630000144iICAAY,176,Web,Finance,Unrated,Prospect,1601.87,53.55,318,12,765,Web-00000-176
001630000144iIDAAY,177,Phone Inquiry,Machinery,Primer,Installation Partner,59572.87,267,358.5,11,112,Phone Inquiry-00000-177
001630000144iIEAAY,178,Other,Machinery,Hot,Customer - Channel,64411.16,226.55,349.5,12,82,Other-00000-178
001630000144iIFAAY,179,Purchased List,Construction,Primer,Prospect,9802.21,547.27,57,21,60,Purchased List-00000-179
001630000144iIGAAY,180,Phone Inquiry,Machinery,Primer,Customer - Direct,57888.43,142.04,264,19,72,Phone Inquiry-00000-180
001630000144iIHAAY,181,Purchased List,Construction,Cold,Customer - Channel,49276.59,69.54,192,12,793,Purchased List-00000-181
001630000144iIIAAY,182,Phone Inquiry,Construction,Cold,Installation Partner,48964.01,446.18,273,16,196,Phone Inquiry-00000-182
001630000144iIJAAY,183,Purchased List,Finance,Hot,Prospect,49994.1,149.28,192,18,548,Purchased List-00000-183
001630000144iIKAAY,184,Phone Inquiry,Construction,Warm,Customer - Direct,40344.29,480.12,187.5,19,17,Phone Inquiry-00000-184
001630000144iILAAY,185,Phone Inquiry,Agriculture,Warm,Customer - Channel,77209.83,348.91,210,13,174,Phone Inquiry-00000-185
001630000144iIMAAY,186,Phone Inquiry,Telecommunications,Primer,Installation Partner,53071.3,461.89,196.5,18,46,Phone Inquiry-00000-186
001630000144iINAAY,187,Purchased List,Machinery,Primer,Installation Partner,28879.8,93.54,205.5,19,641,Purchased List-00000-187
001630000144iIOAAY,188,Partner Referral,Construction,Warm,Other,2716.53,573.35,241.5,16,354,Partner Referral-00000-188
001630000144iIPAAY,189,Partner Referral,Finance,Hot,Installation Partner,10413.65,369.17,84,14,852,Partner Referral-00000-189
001630000144iIQAAY,190,Partner Referral,Telecommunications,Warm,Prospect,2148.58,382,318,17,375,Partner Referral-00000-190
001630000144iIRAAY,191,Web,Telecommunications,Hot,Other,42311.75,150.11,300,19,268,Web-00000-191
001630000144iISAAY,192,Purchased List,Telecommunications,Primer,Prospect,50665.96,38.54,268.5,18,452,Purchased List-00000-192
001630000144iITAAY,193,Web,Machinery,Primer,Installation Partner,22514.19,559.61,192,18,243,Web-00000-193
001630000144iIUAAY,194,Web,Telecommunications,Cold,Other,33604,551.67,39,15,572,Web-00000-194
001630000144iIVAAY,195,Partner Referral,Finance,Warm,Prospect,7856.9,249.75,300,20,353,Partner Referral-00000-195
001630000144iIWAAY,196,Web,Agriculture,Unrated,Installation Partner,33040.05,618.09,61.5,11,569,Web-00000-196
001630000144iIXAAY,197,Web,Telecommunications,Unrated,Installation Partner,60691.17,234.78,147,17,508,Web-00000-197
001630000144iIYAAY,198,Other,Telecommunications,Cold,Customer - Channel,73701.68,238.2,210,17,50,Other-00000-198
001630000144iIZAAY,199,Other,Telecommunications,Hot,Customer - Channel,14115.28,338.59,43.5,20,616,Other-00000-199
001630000144iIaAAI,200,Partner Referral,Construction,Warm,Installation Partner,42283.66,569.18,66,19,33,Partner Referral-00000-200
001630000144iIbAAI,201,Other,Finance,Primer,Customer - Direct,43390.57,453.88,174,19,291,Other-00000-201
001630000144iIcAAI,202,Partner Referral,Agriculture,Primer,Customer - Direct,10145.52,625.11,88.5,13,599,Partner Referral-00000-202
001630000144iIdAAI,203,Other,Construction,Warm,Other,44520.28,55.2,286.5,18,478,Other-00000-203
001630000144iIoAAI,204,Purchased List,Machinery,Primer,Prospect,30709.01,473.32,214.5,19,188,Purchased List-00000-204
001630000144iIpAAI,205,Phone Inquiry,Finance,Hot,Other,42380.31,216.64,66,10,879,Phone Inquiry-00000-205
001630000144iIqAAI,206,Other,Machinery,Warm,Prospect,24846.66,192.78,250.5,19,554,Other-00000-206
001630000144iIrAAI,207,Partner Referral,Construction,Warm,Prospect,32388.05,486.72,295.5,10,452,Partner Referral-00000-207
001630000144iIsAAI,208,Other,Finance,Warm,Installation Partner,41958.82,286.57,111,20,445,Other-00000-208
001630000144iItAAI,209,Purchased List,Machinery,Unrated,Installation Partner,30717.56,452.55,246,17,434,Purchased List-00000-209
001630000144iIuAAI,210,Phone Inquiry,Construction,Warm,Customer - Channel,41433.11,540.66,291,13,79,Phone Inquiry-00000-210
001630000144iIvAAI,211,Phone Inquiry,Construction,Primer,Customer - Channel,24360.59,359.73,300,13,612,Phone Inquiry-00000-211
001630000144iIwAAI,212,Other,Finance,Unrated,Customer - Channel,26864.5,329.67,165,17,713,Other-00000-212
001630000144iIxAAI,213,Partner Referral,Telecommunications,Primer,Installation Partner,65534.91,359.45,120,13,560,Partner Referral-00000-213
001630000144iIyAAI,214,Phone Inquiry,Telecommunications,Unrated,Customer - Direct,30326.59,518.62,268.5,11,486,Phone Inquiry-00000-214
001630000144iIzAAI,215,Purchased List,Finance,Warm,Customer - Direct,48282.59,681.29,61.5,13,139,Purchased List-00000-215
001630000144iJ0AAI,216,Purchased List,Construction,Warm,Prospect,50027.83,572.17,147,11,451,Purchased List-00000-216
001630000144iJ1AAI,217,Partner Referral,Machinery,Primer,Installation Partner,16071.47,104.5,372,13,608,Partner Referral-00000-217
001630000144iJ2AAI,218,Partner Referral,Finance,Unrated,Installation Partner,20087.59,465.81,214.5,18,404,Partner Referral-00000-218
001630000144iJ3AAI,219,Purchased List,Machinery,Hot,Other,9334.8,232.27,367.5,19,31,Purchased List-00000-219
001630000144iJ4AAI,220,Purchased List,Machinery,Hot,Customer - Channel,18389.75,470.14,309,14,439,Purchased List-00000-220
001630000144iJ5AAI,221,Purchased List,Construction,Unrated,Customer - Channel,67287.39,411.74,52.5,17,268,Purchased List-00000-221
001630000144iJ6AAI,222,Phone Inquiry,Telecommunications,Hot,Customer - Direct,58300.62,68.42,178.5,17,602,Phone Inquiry-00000-222
001630000144iJ7AAI,223,Web,Finance,Cold,Prospect,10698.59,58.28,241.5,20,593,Web-00000-223
001630000144iJ8AAI,224,Phone Inquiry,Construction,Primer,Other,44485.64,551.32,147,13,507,Phone Inquiry-00000-224
001630000144iJ9AAI,225,Phone Inquiry,Telecommunications,Hot,Prospect,11499.68,438.4,219,13,709,Phone Inquiry-00000-225
