External_Id__c,AccountSource,Industry,Rating,Type,AnnualRevenue,Credit_Score__c,Days_Since_Last_Purchase__c,Transactions__c,NumberOfEmployees,Name
142,Purchased List,Machinery,Warm,Customer - Channel,42309.46,427.26,246.0,18,262,Purchased List-00000-142
143,Web,Agriculture,Hot,Installation Partner,6576.18,360.42,142.5,19,647,Web-00000-143
144,Web,Finance,Hot,Customer - Direct,64774.38,341.49,246.0,16,203,Web-00000-144
145,Web,Agriculture,Cold,Installation Partner,23054.81,463.14,259.5,18,254,Web-00000-145
146,Partner Referral,Agriculture,Warm,Other,45363.9,503.3,295.5,13,214,Partner Referral-00000-146
147,Purchased List,Telecommunications,Warm,Prospect,60731.92,331.52,223.5,16,367,Purchased List-00000-147
148,Phone Inquiry,Machinery,Warm,Installation Partner,28157.14,632.75,205.5,16,104,Phone Inquiry-00000-148
149,Partner Referral,Agriculture,Unrated,Prospect,39893.68,214.65,349.5,12,526,Partner Referral-00000-149
150,Web,Telecommunications,Primer,Customer - Direct,16816.67,469.05,300.0,18,115,Web-00000-150
151,Phone Inquiry,Agriculture,Unrated,Prospect,40936.78,256.43,309.0,18,335,Phone Inquiry-00000-151
152,Web,Construction,Cold,Prospect,34756.14,238.88,196.5,19,536,Web-00000-152
153,Purchased List,Agriculture,Primer,Other,39277.93,58.67,282.0,21,205,Purchased List-00000-153
154,Phone Inquiry,Agriculture,Cold,Customer - Direct,16703.89,367.8,363.0,13,432,Phone Inquiry-00000-154
155,Web,Construction,Cold,Prospect,38208.48,325.94,192.0,18,567,Web-00000-155
156,Other,Agriculture,Primer,Other,10437.46,372.23,241.5,16,631,Other-00000-156
157,Partner Referral,Finance,Hot,Other,35778.26,145.68,399.0,13,392,Partner Referral-00000-157
158,Purchased List,Agriculture,Hot,Customer - Channel,36265.31,455.59,345.0,13,211,Purchased List-00000-158
159,Partner Referral,Finance,Cold,Installation Partner,47006.41,429.89,241.5,16,356,Partner Referral-00000-159
160,Other,Finance,Warm,Customer - Direct,29432.74,197.31,174.0,21,453,Other-00000-160
161,Phone Inquiry,Machinery,Warm,Other,28562.2,298.77,201.0,19,554,Phone Inquiry-00000-161
162,Phone Inquiry,Machinery,Hot,Other,33326.23,341.13,39.0,19,625,Phone Inquiry-00000-162
163,Purchased List,Machinery,Warm,Customer - Direct,23695.46,390.55,277.5,20,117,Purchased List-00000-163
164,Phone Inquiry,Finance,Unrated,Customer - Direct,65858.91,224.44,124.5,14,628,Phone Inquiry-00000-164
165,Phone Inquiry,Machinery,Warm,Prospect,65324.05,91.16,219.0,17,447,Phone Inquiry-00000-165
166,Phone Inquiry,Construction,Unrated,Customer - Channel,77771.14,314.17,147.0,16,131,Phone Inquiry-00000-166
167,Phone Inquiry,Construction,Warm,Customer - Channel,80218.38,100.4,255.0,15,90,Phone Inquiry-00000-167
168,Web,Machinery,Unrated,Prospect,59411.27,549.5,183.0,12,260,Web-00000-168
169,Phone Inquiry,Machinery,Hot,Customer - Direct,16107.04,540.2,358.5,10,94,Phone Inquiry-00000-169
170,Purchased List,Telecommunications,Primer,Customer - Channel,47638.26,397.94,174.0,18,424,Purchased List-00000-170
171,Partner Referral,Agriculture,Cold,Other,27108.21,573.51,223.5,14,441,Partner Referral-00000-171
172,Phone Inquiry,Agriculture,Unrated,Other,61976.93,408.33,282.0,14,124,Phone Inquiry-00000-172
173,Partner Referral,Construction,Cold,Installation Partner,15160.76,489.36,129.0,21,105,Partner Referral-00000-173
174,Purchased List,Finance,Unrated,Other,52920.69,450.2,277.5,10,371,Purchased List-00000-174
175,Partner Referral,Construction,Hot,Other,65096.02,439.9,79.5,16,339,Partner Referral-00000-175
176,Web,Finance,Unrated,Prospect,1601.87,53.55,318.0,12,765,Web-00000-176
177,Phone Inquiry,Machinery,Primer,Installation Partner,59572.87,267.0,358.5,11,112,Phone Inquiry-00000-177
178,Other,Machinery,Hot,Customer - Channel,64411.16,226.55,349.5,12,82,Other-00000-178
179,Purchased List,Construction,Primer,Prospect,9802.21,547.27,57.0,21,60,Purchased List-00000-179
180,Phone Inquiry,Machinery,Primer,Customer - Direct,57888.43,142.04,264.0,19,72,Phone Inquiry-00000-180
181,Purchased List,Construction,Cold,Customer - Channel,49276.59,69.54,192.0,12,793,Purchased List-00000-181
182,Phone Inquiry,Construction,Cold,Installation Partner,48964.01,446.18,273.0,16,196,Phone Inquiry-00000-182
183,Purchased List,Finance,Hot,Prospect,49994.1,149.28,192.0,18,548,Purchased List-00000-183
184,Phone Inquiry,Construction,Warm,Customer - Direct,40344.29,480.12,187.5,19,17,Phone Inquiry-00000-184
185,Phone Inquiry,Agriculture,Warm,Customer - Channel,77209.83,348.91,210.0,13,174,Phone Inquiry-00000-185
186,Phone Inquiry,Telecommunications,Primer,Installation Partner,53071.3,461.89,196.5,18,46,Phone Inquiry-00000-186
187,Purchased List,Machinery,Primer,Installation Partner,28879.8,93.54,205.5,19,641,Purchased List-00000-187
188,Partner Referral,Construction,Warm,Other,2716.53,573.35,241.5,16,354,Partner Referral-00000-188
189,Partner Referral,Finance,Hot,Installation Partner,10413.65,369.17,84.0,14,852,Partner Referral-00000-189
190,Partner Referral,Telecommunications,Warm,Prospect,2148.58,382.0,318.0,17,375,Partner Referral-00000-190
191,Web,Telecommunications,Hot,Other,42311.75,150.11,300.0,19,268,Web-00000-191
192,Purchased List,Telecommunications,Primer,Prospect,50665.96,38.54,268.5,18,452,Purchased List-00000-192
193,Web,Machinery,Primer,Installation Partner,22514.19,559.61,192.0,18,243,Web-00000-193
194,Web,Telecommunications,Cold,Other,33604.0,551.67,39.0,15,572,Web-00000-194
195,Partner Referral,Finance,Warm,Prospect,7856.9,249.75,300.0,20,353,Partner Referral-00000-195
196,Web,Agriculture,Unrated,Installation Partner,33040.05,618.09,61.5,11,569,Web-00000-196
197,Web,Telecommunications,Unrated,Installation Partner,60691.17,234.78,147.0,17,508,Web-00000-197
198,Other,Telecommunications,Cold,Customer - Channel,73701.68,238.2,210.0,17,50,Other-00000-198
199,Other,Telecommunications,Hot,Customer - Channel,14115.28,338.59,43.5,20,616,Other-00000-199
200,Partner Referral,Construction,Warm,Installation Partner,42283.66,569.18,66.0,19,33,Partner Referral-00000-200
201,Other,Finance,Primer,Customer - Direct,43390.57,453.88,174.0,19,291,Other-00000-201
202,Partner Referral,Agriculture,Primer,Customer - Direct,10145.52,625.11,88.5,13,599,Partner Referral-00000-202
203,Other,Construction,Warm,Other,44520.28,55.2,286.5,18,478,Other-00000-203
204,Purchased List,Machinery,Primer,Prospect,30709.01,473.32,214.5,19,188,Purchased List-00000-204
205,Phone Inquiry,Finance,Hot,Other,42380.31,216.64,66.0,10,879,Phone Inquiry-00000-205
206,Other,Machinery,Warm,Prospect,24846.66,192.78,250.5,19,554,Other-00000-206
207,Partner Referral,Construction,Warm,Prospect,32388.05,486.72,295.5,10,452,Partner Referral-00000-207
208,Other,Finance,Warm,Installation Partner,41958.82,286.57,111.0,20,445,Other-00000-208
209,Purchased List,Machinery,Unrated,Installation Partner,30717.56,452.55,246.0,17,434,Purchased List-00000-209
210,Phone Inquiry,Construction,Warm,Customer - Channel,41433.11,540.66,291.0,13,79,Phone Inquiry-00000-210
211,Phone Inquiry,Construction,Primer,Customer - Channel,24360.59,359.73,300.0,13,612,Phone Inquiry-00000-211
212,Other,Finance,Unrated,Customer - Channel,26864.5,329.67,165.0,17,713,Other-00000-212
213,Partner Referral,Telecommunications,Primer,Installation Partner,65534.91,359.45,120.0,13,560,Partner Referral-00000-213
214,Phone Inquiry,Telecommunications,Unrated,Customer - Direct,30326.59,518.62,268.5,11,486,Phone Inquiry-00000-214
215,Purchased List,Finance,Warm,Customer - Direct,48282.59,681.29,61.5,13,139,Purchased List-00000-215
216,Purchased List,Construction,Warm,Prospect,50027.83,572.17,147.0,11,451,Purchased List-00000-216
217,Partner Referral,Machinery,Primer,Installation Partner,16071.47,104.5,372.0,13,608,Partner Referral-00000-217
218,Partner Referral,Finance,Unrated,Installation Partner,20087.59,465.81,214.5,18,404,Partner Referral-00000-218
219,Purchased List,Machinery,Hot,Other,9334.8,232.27,367.5,19,31,Purchased List-00000-219
220,Purchased List,Machinery,Hot,Customer - Channel,18389.75,470.14,309.0,14,439,Purchased List-00000-220
221,Purchased List,Construction,Unrated,Customer - Channel,67287.39,411.74,52.5,17,268,Purchased List-00000-221
222,Phone Inquiry,Telecommunications,Hot,Customer - Direct,58300.62,68.42,178.5,17,602,Phone Inquiry-00000-222
223,Web,Finance,Cold,Prospect,10698.59,58.28,241.5,20,593,Web-00000-223
224,Phone Inquiry,Construction,Primer,Other,44485.64,551.32,147.0,13,507,Phone Inquiry-00000-224
225,Phone Inquiry,Telecommunications,Hot,Prospect,11499.68,438.4,219.0,13,709,Phone Inquiry-00000-225
226,Partner Referral,Construction,Primer,Customer - Channel,50383.84,88.0,183.0,16,677,Partner Referral-00000-226
227,Purchased List,Telecommunications,Primer,Customer - Channel,53262.22,473.03,241.5,13,391,Purchased List-00000-227
228,Purchased List,Finance,Cold,Other,52660.63,214.89,291.0,19,71,Purchased List-00000-228
229,Phone Inquiry,Agriculture,Warm,Customer - Channel,16590.42,194.51,291.0,20,435,Phone Inquiry-00000-229
230,Partner Referral,Finance,Unrated,Prospect,27492.69,116.34,66.0,23,428,Partner Referral-00000-230
231,Partner Referral,Finance,Warm,Customer - Channel,33790.35,319.15,309.0,15,513,Partner Referral-00000-231
232,Purchased List,Finance,Unrated,Customer - Direct,35312.75,131.86,309.0,16,551,Purchased List-00000-232
233,Web,Telecommunications,Primer,Installation Partner,30929.4,179.62,264.0,19,488,Web-00000-233
234,Other,Telecommunications,Warm,Prospect,2534.46,388.7,286.5,12,666,Other-00000-234
235,Partner Referral,Telecommunications,Unrated,Customer - Direct,62021.92,12.88,349.5,12,340,Partner Referral-00000-235
236,Partner Referral,Machinery,Cold,Customer - Direct,9743.39,193.44,286.5,21,311,Partner Referral-00000-236
237,Web,Finance,Warm,Installation Partner,3041.28,101.61,309.0,21,260,Web-00000-237
238,Partner Referral,Construction,Hot,Customer - Direct,36260.24,643.19,124.5,13,419,Partner Referral-00000-238
239,Partner Referral,Finance,Unrated,Prospect,50231.06,516.47,228.0,11,416,Partner Referral-00000-239
240,Web,Finance,Warm,Installation Partner,56262.43,484.66,160.5,17,93,Web-00000-240
241,Other,Finance,Cold,Customer - Direct,24551.07,476.97,138.0,17,560,Other-00000-241
242,Phone Inquiry,Construction,Cold,Customer - Channel,6224.48,406.33,318.0,18,180,Phone Inquiry-00000-242
243,Partner Referral,Machinery,Cold,Installation Partner,44579.78,415.98,147.0,20,142,Partner Referral-00000-243
244,Web,Machinery,Warm,Installation Partner,57692.12,463.13,286.5,10,201,Web-00000-244
245,Phone Inquiry,Telecommunications,Hot,Customer - Channel,6016.22,611.67,57.0,20,74,Phone Inquiry-00000-245
246,Partner Referral,Machinery,Hot,Prospect,58956.0,137.69,133.5,13,756,Partner Referral-00000-246
247,Phone Inquiry,Machinery,Unrated,Other,46870.73,290.69,205.5,20,290,Phone Inquiry-00000-247
248,Partner Referral,Machinery,Cold,Customer - Channel,74885.63,197.25,129.0,18,211,Partner Referral-00000-248
249,Partner Referral,Agriculture,Unrated,Customer - Direct,72118.81,361.5,183.0,13,391,Partner Referral-00000-249
250,Web,Construction,Primer,Other,75829.45,411.05,214.5,12,43,Web-00000-250
251,Purchased List,Telecommunications,Primer,Other,13546.99,139.36,66.0,21,629,Purchased List-00000-251
252,Phone Inquiry,Agriculture,Warm,Installation Partner,58324.65,403.95,192.0,14,471,Phone Inquiry-00000-252
253,Web,Agriculture,Unrated,Other,21258.65,661.23,201.0,16,134,Web-00000-253
254,Phone Inquiry,Finance,Unrated,Installation Partner,71367.97,72.76,246.0,14,453,Phone Inquiry-00000-254
255,Web,Telecommunications,Cold,Other,60437.5,302.75,255.0,11,510,Web-00000-255
256,Web,Machinery,Cold,Installation Partner,53648.11,585.85,88.5,16,92,Web-00000-256
257,Web,Agriculture,Hot,Installation Partner,23117.54,539.76,331.5,13,179,Web-00000-257
258,Web,Telecommunications,Hot,Other,44331.94,570.91,75.0,18,122,Web-00000-258
259,Purchased List,Machinery,Warm,Other,46947.97,218.92,241.5,19,407,Purchased List-00000-259
260,Purchased List,Agriculture,Unrated,Installation Partner,65263.48,262.66,309.0,13,260,Purchased List-00000-260
261,Other,Agriculture,Hot,Other,44204.33,534.29,111.0,14,526,Other-00000-261
262,Phone Inquiry,Construction,Primer,Customer - Direct,43679.3,67.84,43.5,18,715,Phone Inquiry-00000-262
263,Partner Referral,Telecommunications,Hot,Installation Partner,33446.0,313.86,129.0,19,615,Partner Referral-00000-263
264,Purchased List,Telecommunications,Cold,Other,72285.23,450.32,79.5,14,333,Purchased List-00000-264
265,Web,Construction,Cold,Installation Partner,18969.12,136.53,237.0,10,865,Web-00000-265
266,Partner Referral,Finance,Primer,Other,44910.01,288.67,300.0,18,101,Partner Referral-00000-266
267,Web,Machinery,Cold,Installation Partner,2256.73,41.62,282.0,19,576,Web-00000-267
268,Phone Inquiry,Agriculture,Cold,Customer - Channel,23839.18,78.29,241.5,18,684,Phone Inquiry-00000-268
269,Phone Inquiry,Agriculture,Unrated,Other,35655.13,445.25,201.0,17,459,Phone Inquiry-00000-269
270,Phone Inquiry,Construction,Hot,Prospect,9783.69,426.77,336.0,11,518,Phone Inquiry-00000-270
